lp;kto;partia;noGlos;procGlos;uwagiGlos
452.;Złotowski Kosma;PiS;3141;93.20;mandat wygasł 27-05-2014;
453.;Świło Teresa;PO;3120;99.39;ślubowała 19-03-2014;
454.;Plura Marek;PO;3115;92.43;mandat wygasł 27-05-2014;
455.;Fotyga Anna;PiS;3023;89.70;mandat wygasł 27-05-2014;
456.;Smolarz Tomasz;PO;3015;98.08;mandat wygasł 12-03-2014;
457.;Zdrojewski Bogdan;PO;2968;88.07;mandat wygasł 27-05-2014;
458.;Tusk Donald;PO;2886;71.74;mandat wygasł 31-10-2014;
459.;Tomaszak-Zesiuk Irena;PO;2868;94.19;ślubowała 23-04-2014;
460.;Ćwik Piotr Krzysztof;PiS;2856;99.76;ślubował 05-06-2014;
461.;Rzymełka Jan;PO;2852;99.62;ślubował 05-06-2014;
462.;Błądek Antoni;PiS;2849;99.51;ślubował 05-06-2014;
463.;Król Piotr;PiS;2831;98.88;ślubował 05-06-2014;
464.;Młyńczak Aldona;PO;2830;98.85;ślubowała 05-06-2014;
465.;Rusinowska Beata;PO;2818;98.43;ślubowała 05-06-2014;
466.;Sosna Aleksander;SLD;2813;98.25;ślubował 05-06-2014;
467.;Chmielewski Stanisław;PO;2764;99.17;ślubował 24-06-2014;
468.;Smoliński Kazimierz;PiS;2751;96.09;ślubował 05-06-2014;
469.;Stuligrosz Michał;PO;2715;94.83;ślubował 05-06-2014;
470.;Jackiewicz Dawid;PiS;2711;80.45;mandat wygasł 27-05-2014;
471.;Babiarz Piotr Łukasz;PiS;2702;94.38;ślubował 05-06-2014;
472.;Sońta Krzysztof;PiS;2676;93.47;ślubował 05-06-2014;
473.;Ujazdowski Kazimierz Michał;PiS;2665;79.08;mandat wygasł 27-05-2014;
474.;Czarnecki Przemysław;PiS;2651;92.60;ślubował 05-06-2014;
475.;Smirnow Andrzej;PiS;2648;92.49;ślubował 05-06-2014;
476.;Buła Andrzej;PO;2581;99.69;mandat wygasł 12-11-2013;
477.;Sądel Jerzy;PiS;2487;86.87;ślubował 05-06-2014;
478.;Sobierajski Czesław;PiS;2384;98.72;ślubował 24-09-2014;
479.;Jagła Robert;PO;2364;93.88;ślubował 27-08-2014;
480.;Niedbała Marek;SLD;2354;82.22;ślubował 05-06-2014;
481.;Kwitek Marek;PiS;2286;96.42;ślubował 01-10-2014;
482.;Czeszejko-Sochacka Ewa;PO;2263;99.60;ślubowała 07-11-2014;
