teryt;nazwa;ppp;totalp;ppp.p;OSM1;OSM2;SM1;SM2;L1;L2;typ;ppp.dens
2607;ostrowiecki;16810;111111;15.13;0;0;2;2;2;2;p;4202.5
2608;pińczowski;6237;39497;15.79;0;0;1;0;1;0;p;6237
2609;sandomierski;12787;78405;16.31;0;0;0;0;0;0;p;66666
2610;skarżyski;11070;75673;14.63;0;0;1;0;1;0;p;11070
2611;starachowicki;14526;90888;15.98;0;0;1;0;1;0;p;14526
2612;staszowski;12639;72456;17.44;0;0;1;0;1;0;p;12639
2613;włoszczowski;7994;45521;17.56;0;0;0;0;0;0;p;66666
2661;m.Kielce;31025;196804;15.76;1;1;3;2;4;3;m;4432.14
2801;bartoszycki;10195;58435;17.45;0;0;0;0;0;0;p;66666
2802;braniewski;7211;41675;17.30;0;0;0;0;0;0;p;66666
2803;działdowski;12855;65772;19.54;0;0;1;0;1;0;p;12855
2804;elbląski;11136;57955;19.21;0;0;0;0;0;0;p;66666
2805;ełcki;17882;91022;19.65;0;0;1;1;1;1;p;8941
2806;giżycki;10037;56922;17.63;0;0;1;0;1;0;p;10037
2807;iławski;18468;92811;19.90;0;0;2;0;2;0;p;9234
2808;kętrzyński;10860;63470;17.11;0;0;1;0;1;0;p;10860
2809;lidzbarski;7449;41840;17.80;0;0;1;0;1;0;p;7449
2810;mrągowski;9044;50381;17.95;0;0;1;0;1;0;p;9044
2811;nidzicki;6256;33239;18.82;0;0;1;0;1;0;p;6256
2812;nowomiejski;9140;44104;20.72;0;0;2;0;2;0;p;4570
2813;olecki;6702;346;19.37;0;0;1;0;1;0;p;6702
2814;olsztyński;23938;125220;19.12;0;0;5;0;5;0;p;4787.6
2815;ostródzki;19833;105318;18.83;0;0;1;0;1;0;p;19833
2816;piski;10476;56933;18.40;1;0;0;0;1;0;p;10476
2817;szczycieński;13079;70153;18.64;0;0;1;0;1;0;p;13079
2818;gołdapski;5208;27062;19.24;0;0;1;0;1;0;p;5208
2819;węgorzewski;3891;23068;16.87;0;0;0;0;0;0;p;66666
2861;m.Elbląg;19925;120895;16.48;1;1;1;1;2;2;m;4981.25
2862;m.Olsztyn;29737;173070;17.18;0;0;1;1;1;1;m;14868.5
3001;chodzieski;9119;47341;19.26;0;0;0;0;0;0;p;66666
3002;czarnkowsko-trzcianecki;17209;87570;19.65;0;0;0;0;0;0;p;66666
3003;gnieźnieński;28799;145333;19.82;1;0;0;1;1;1;p;14399.5
3004;gostyński;14928;76087;19.62;0;0;1;0;1;0;p;14928
3005;grodziski;11055;51701;21.38;0;0;0;0;0;0;p;66666
3006;jarociński;13983;71741;19.49;0;0;1;0;1;0;p;13983
3007;kaliski;16045;83124;19.30;0;0;0;0;0;0;p;66666
3008;kępiński;10996;56394;19.50;0;0;1;0;1;0;p;10996
3009;kolski;15922;87790;18.14;0;0;1;0;1;0;p;15922
3010;koniński;25283;129715;19.49;0;0;1;0;1;0;p;25283
