Teryt;Gmina;Urząd;Nazwisko Imiona;Typ;Komitet
180508;gm. Osiek Jasielski;Wójt Gminy Osiek Jasielski;STACHURSKI Andrzej Adam;PP;KOMITET WYBORCZY WOLNI I SOLIDARNI
020602;m. Kowary;Burmistrz Miasta Kowary;ŁUBIŃSKI Krzysztof Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RAZEM DLA KOWAR KRZYSZTOF ŁUBIŃSKI
143304;gm. Liw;Wójt Gminy Liw;SZYMAŃSKI Bogusław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
280104;gm. Bisztynek;Burmistrz Bisztynka;DOMINIAK Marek Kazimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA SPRAWA
241601;m. Poręba;Burmistrz Miasta Poręba;SPYRA Ryszard;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW RYSZARDA SPYRY JEDNOŚĆ I PRZYSZŁOŚĆ
040903;gm. Mogilno;Burmistrz Mogilna;DUSZYŃSKI Leszek Marek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA POWIATU MOGILEŃSKIEGO
181109;gm. Tuszów Narodowy;Wójt Gminy Tuszów Narodowy;GŁAZ Andrzej;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
140609;gm. Pniewy;Wójt Gminy Pniewy;NASIŁOWSKI Wiesław Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI DLA GMINY PNIEWY
240604;gm. Miedźno;Wójt Gminy Miedźno;RÓŻAŃSKI Andrzej Waldemar;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
101601;m. Tomaszów Mazowiecki;Prezydent Miasta Tomaszowa Mazowieckiego;KLATKA Barbara Ewa;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
200305;gm. Brańsk;Wójt Gminy Brańsk;JANKOWSKI Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANDRZEJA JANKOWSKIEGO
060203;gm. Biłgoraj;Wójt Gminy Biłgoraj;RÓŻAŃSKI Janusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
302505;gm. Zaniemyśl;Wójt Gminy Zaniemyśl;DĄBROWSKA Justyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MIESZKAŃCY GMINY ZANIEMYŚL
302505;gm. Zaniemyśl;Wójt Gminy Zaniemyśl;URBAS Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA NOWA GMINA
100510;gm. Zduny;Wójt Gminy Zduny;KWIATKOWSKI Jarosław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
061411;gm. Żyrzyn;Wójt Gminy Żyrzyn;BUJEK Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANDRZEJ BUJEK
101710;gm. Wierzchlas;Wójt Gminy Wierzchlas;BEDNAREK Krzysztof Wojciech;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
143502;gm. Długosiodło;Wójt Gminy Długosiodło;JASTRZĘBSKI Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „NASZA GMINA DŁUGOSIODŁO”
220602;gm. Dziemiany;Wójt Gminy Dziemiany;MANKIEWICZ Teresa Natalia;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
022102;m. Jedlina-Zdrój;Burmistrz Miasta Jedlina-Zdrój;PODBIELSKA Lidia Joanna;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
022102;m. Jedlina-Zdrój;Burmistrz Miasta Jedlina-Zdrój;ORPEL Leszek Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESZKA ORPLA „NASZE MIASTO”
200706;gm. Przytuły;Wójt Gminy Przytuły;POLKOWSKI Krzysztof Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
260415;gm. Pierzchnica;Wójt Gminy Pierzchnica;MASZCZYK Sławomir Jarosław;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
321003;gm. Dębno;Burmistrz Gminy Dębno;WYSZYŃSKI Marian;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZGODA I ROZWÓJ
302109;gm. Kórnik;Burmistrz Miasta i Gminy Kórnik;TOMASZEWSKI Zbigniew Eugeniusz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
143603;gm. Przyłęk;Wójt Gminy Przyłęk;DUSIŃSKI Dariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DARIUSZA DUSIŃSKIEGO
060907;gm. Jastków;Wójt Gminy Jastków;ŻYŚKO Robert Artur;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ROBERTA ŻYŚKO - DOBRA PRZYSZŁOŚĆ
041604;gm. Lubiewo;Wójt Gminy Lubiewo;HOPPE Henryk Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW W SŁUŻBIE MIESZKAŃCOM
300807;gm. Trzcinica;Wójt Gminy Trzcinica;HADZIK Grzegorz Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA TRZCINICA
186101;m. Krosno;Prezydent Miasta Krosna;SKIBA Adam;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
143411;gm. Tłuszcz;Burmistrz Tłuszcza;KRUPA Grażyna Barbara;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142905;gm. Kosów Lacki;Burmistrz Miasta i Gminy Kosów Lacki;SŁOMIAK Jan Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANA SŁOMIAKA
281501;m. Ostróda;Burmistrz Miasta Ostróda;GRACZYK Waldemar;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
141806;gm. Tarczyn;Burmistrz Tarczyna;BOCHYŃSKA Justyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GOSPODARNA GMINA
281501;m. Ostróda;Burmistrz Miasta Ostróda;NAJMOWICZ Czesław Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
140301;m. Garwolin;Burmistrz Miasta Garwolina;ZADROŻNA Urszula Teresa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA POWIATU I MIASTA GARWOLIN Z URSZULĄ ZADROŻNĄ
303001;gm. Kołaczkowo;Wójt Gminy Kołaczkowo;WASZAK Teresa;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
140606;gm. Jasieniec;Wójt Gminy Jasieniec;PRZYBYLSKA Justyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA JASIENIEC-WSPÓLNE DOBRO
040303;gm. Dobrcz;Wójt Gminy Dobrcz;SZALA Krzysztof Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA WSPÓLNE DOBRO
040109;gm. Zakrzewo;Wójt Gminy Zakrzewo;NENCZAK Artur;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZAKRZEWO
240108;m. Sławków;Burmistrz Miasta Sławkowa;NIEWIARA Ewa Beata;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
260503;gm. Końskie;Burmistrz Miasta i Gminy Końskie;MARCZEWSKI Sławomir Szczepan;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
141506;gm. Lelis;Wójt Gminy Lelis;MRÓZ Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BEZPARTYJNA GMINA LELIS
141506;gm. Lelis;Wójt Gminy Lelis;PRUSIK Stefan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINY LELIS
120303;gm. Chrzanów;Burmistrz Miasta Chrzanowa;MACIASZEK Robert Tomasz;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
280408;gm. Rychliki;Wójt Gminy Rychliki;LICHUSZEWSKI Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ZBIGNIEWA LICHUSZEWSKIEGO
247201;m. Ruda Śląska;Prezydent Miasta Ruda Śląska;SKOWRONEK Aleksandra Maria;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
121809;gm. Wadowice;Burmistrz Wadowic;BRYNKUS Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
240402;gm. Dąbrowa Zielona;Wójt Gminy Dąbrowa Zielona;WOJCIECHOWSKI Arnold Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA POWIATU CZĘSTOCHOWSKIEGO
240603;gm. Lipie;Wójt Gminy Lipie;MIŁKOWSKA Bogusława;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
062005;gm. Łabunie;Wójt Gminy Łabunie;TURCZYN Antoni Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANTONIEGO WOJCIECHA TURCZYNA
062005;gm. Łabunie;Wójt Gminy Łabunie;BODYS Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ELŻBIETY BODYS
101408;gm. Sieradz;Wójt Gminy Sieradz;KAŹMIERCZAK Jarosław Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JAROSŁAWA JANA KAŹMIERCZAKA
320801;m. Kołobrzeg;Prezydent Miasta Kołobrzeg;MIECZKOWSKA Anna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANNY MIECZKOWSKIEJ KOŁOBRZESCY RAZEM
022201;gm. Brzeg Dolny;Burmistrz Brzegu Dolnego;PIREK Paweł Stefan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PAWŁA PIRKA - DOLNOBRZESKA INICJATYWA SAMORZĄDOWA
241705;gm. Koszarawa;Wójt Gminy Koszarawa;MAJDAK Czesław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KOSZARAWA WSPÓLNE DOBRO
220201;m. Chojnice;Burmistrz Miasta Chojnice;REDZIMSKI Leszek Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESZKA REDZIMSKIEGO
041202;gm. Brzuze;Wójt Gminy Brzuze;KOPROWSKI Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINY BRZUZE
200210;gm. Suraż;Burmistrz Suraża;HALICKI Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DALSZY ROZWÓJ GMINY
061810;gm. Telatyn;Wójt Gminy Telatyn;SUSKI Edward;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
046401;m. Włocławek;Prezydent Miasta Włocławek;GRUDZIECKI Dariusz Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
046401;m. Włocławek;Prezydent Miasta Włocławek;KUŹNIEWICZ Jacek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POSTAW NA WŁOCŁAWEK
140310;gm. Pilawa;Burmistrz Miasta i Gminy Pilawa;KĘDZIOREK Dariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DARIUSZA KĘDZIORKA
046401;m. Włocławek;Prezydent Miasta Włocławek;KALEJAIYE Emanuel;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WŁOCŁAWSKIE STOWARZYSZENIE MIESZKAŃCÓW
142003;gm. Baboszewo;Wójt Gminy Baboszewo;PAWŁOWSKI Stefan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
241710;gm. Radziechowy-Wieprz;Wójt Gminy Radziechowy-Wieprz;ORLIŃSKI Stanisław;PP;KOMITET WYBORCZY POROZUMIENIE JAROSŁAWA GOWINA
160301;m. Kędzierzyn-Koźle;Prezydent Miasta Kędzierzyn-Koźle;MAZUR Andrzej Michał;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
160301;m. Kędzierzyn-Koźle;Prezydent Miasta Kędzierzyn-Koźle;NOWOSIELSKA Sabina Józefa;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SABINY NOWOSIELSKIEJ - KOALICJA OBYWATELSKA
141212;gm. Mrozy;Burmistrz Mrozów;JASZCZUK Dariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA-RAZEM
140603;gm. Chynów;Wójt Gminy Chynów;SKUCIŃSKA Katarzyna Aneta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ODMŁADZAMY GMINĘ
101401;m. Sieradz;Prezydent Miasta Sieradza;OSIEWAŁA Paweł;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SOLIDARNE MIASTO SIERADZ
321004;gm. Myślibórz;Burmistrz Miasta i Gminy Myślibórz;SIARKIEWICZ Zygmunt;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW FORUM DLA MYŚLIBORZA
201108;gm. Sokółka;Burmistrz Sokółki;KAZIMIEROWICZ Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SOKÓLSKI KLUB SAMORZĄDOWY
160705;gm. Nysa;Burmistrz Nysy;KOLBIARZ Kordian Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KORDIANA KOLBIARZA
121810;gm. Wieprz;Wójt Gminy Wieprz;JACHIMCZYK Kazimierz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
020703;gm. Lubawka;Burmistrz Miasta Lubawka;ORZECHOWSKI Jan Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA NASZ DOM - JAN ORZECHOWSKI
321801;gm. Dobra;Burmistrz Gminy Dobra;WRZESIEŃ Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW - KRZYSZTOF WRZESIEŃ
061507;gm. Ulan-Majorat;Wójt Gminy Ulan-Majorat;KOCZKODAJ Jarosław Waldemar;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNA GMINA
306201;m. Konin;Prezydent Miasta Konina;CHOJNACKI Zenon Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
306201;m. Konin;Prezydent Miasta Konina;KORYTKOWSKI Piotr Karol;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
121701;m. Zakopane;Burmistrz Miasta Zakopane;GALICA Dariusz Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW CZAS NA REALIZACJĘ
180401;m. Jarosław;Burmistrz Miasta Jarosławia;WOŁOSZYN Bogdan Jerzy;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142201;m. Przasnysz;Burmistrz Przasnysza;GWARDYS Robert;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BEZPIECZNE GODNE JUTRO
040405;gm. Papowo Biskupie;Wójt Gminy Papowo Biskupie;ZIELIŃSKI Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW TWOJA GMINA
121301;m. Oświęcim;Prezydent Miasta Oświęcim;CHWIERUT Janusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANUSZA CHWIERUTA KOALICJA OBYWATELSKA
206301;m. Suwałki;Prezydent Miasta Suwałk;MACKIEWICZ Grzegorz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
301010;gm. Sompolno;Burmistrz Miasta Sompolno;KOSSOWSKI Andrzej Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANDRZEJA KOSSOWSKIEGO
040202;gm. Bobrowo;Wójt Gminy Bobrowo;STACHOWICZ Mieczysław Jan;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
061108;gm. Stoczek Łukowski;Wójt Gminy Stoczek Łukowski;CZUB Marek Jan;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DLA DOBRA GMINY
281001;m. Mrągowo;Burmistrz Miasta Mrągowo;MOROZ Bogdan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
320603;gm. Chojna;Burmistrz Gminy Chojna;FEDOROWICZ Adam Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA
142005;gm. Dzierzążnia;Wójt Gminy Dzierzążnia;CZYŻEWSKI Włodzimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WŁODZIMIERZA CZYŻEWSKIEGO
320603;gm. Chojna;Burmistrz Gminy Chojna;STEC Radosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRAWICA DLA GMINY CHOJNA
040201;m. Brodnica;Burmistrz Brodnicy;RADACZ Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW PRZYSZŁOŚĆ BRODNICY
220601;m. Kościerzyna;Burmistrz Miasta Kościerzyna;CZUCHA Zdzisław Józef;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY KOŚCIERSKA MARKA
220601;m. Kościerzyna;Burmistrz Miasta Kościerzyna;MAJEWSKI Michał Marcin;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MOJE MIASTO
221501;m. Reda;Burmistrz Miasta Reda;SKURZYŃSKI Piotr Grzegorz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142307;gm. Rusinów;Wójt Gminy Rusinów;OWCZARSKI Waldemar Antoni;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WALDEMARA OWCZARSKIEGO
320601;gm. Banie;Wójt Gminy Banie;WOJTYŁA Małgorzata;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MAŁGORZATY WOJTYŁY
180902;gm. Cieszanów;Burmistrz Miasta i Gminy Cieszanów;ZADWORNY Zdzisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA CIESZANÓW
240502;m. Pyskowice;Burmistrz Miasta Pyskowice;ADAMCZYK Sławomir;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE MIESZKAŃCÓW POWIATU GLIWICKIEGO
200215;gm. Zawady;Wójt Gminy Zawady;WĄDOŁOWSKI Jarosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNE DOBRO
020604;m. Szklarska Poręba;Burmistrz Szklarskiej Poręby;GRAF Mirosław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GOSPODARNI DLA MIASTA
100404;gm. Grabów;Wójt Gminy Grabów;ANDZEL Florian Kazimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NIEZALEŻNE FORUM SAMORZĄDOWE - POKOLENIA
241714;gm. Ujsoły;Wójt Gminy Ujsoły;PIĘTKA Tadeusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA ZIEMIA UJSOŁY
320204;gm. Krzęcin;Wójt Gminy Krzęcin;BRZUSTOWICZ Bogdan Wojciech;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BOGDANA WOJCIECHA BRZUSTOWICZA RAZEM DLA GMINY
100907;gm. Strzelce Wielkie;Wójt Gminy Strzelce Wielkie;JEDNAK Marek Józef;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
240415;gm. Rędziny;Wójt Gminy Rędziny;KNAPIK Grażyna Krystyna;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
303005;gm. Września;Burmistrz Miasta i Gminy Września;KAŁUŻNY Tomasz;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY UNIA WRZEŚNIAN
146301;m. Radom;Prezydent Miasta Radomia;MORDAK Robert Dariusz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW KUKIZ'15
141805;gm. Prażmów;Wójt Gminy Prażmów;ŻYWEK Łukasz Grzegorz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW WSPÓLNIE OŻYWIMY PRAŻMÓW
180503;gm. Dębowiec;Wójt Gminy Dębowiec;STÓJ Marek Michał;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „SPRAWIEDLIWOŚĆ RZETELNOŚĆ EKONOMIA”
101703;gm. Konopnica;Wójt Gminy Konopnica;MITKA Jolanta;PP;KOMITET WYBORCZY SAMOOBRONA
160804;gm. Praszka;Burmistrz Praszki;TKACZYŃSKI Jarosław Wojciech;PO;KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA
180505;gm. Kołaczyce;Burmistrz Kołaczyc;ŻYGŁOWICZ Stanisław Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE PONAD PODZIAŁAMI
201006;gm. Milejczyce;Wójt Gminy Milejczyce;JASZCZUK Grażyna;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GRAŻYNY JASZCZUK
200508;gm. Narew;Wójt Gminy Narew;PLESKOWICZ Andrzej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWE REGIONU PUSZCZY BIAŁOWIESKIEJ
220204;gm. Czersk;Burmistrz Czerska;SABINIARZ Andrzej;Komitet wyborczy organizacji i stowarzyszeń;KOMITET WYBORCZY CZERSKIE FORUM SAMORZĄDOWE
201006;gm. Milejczyce;Wójt Gminy Milejczyce;ALEKSIEJUK Leon;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW POROZUMIENIE SAMORZĄDOWO LUDOWE
060103;gm. Biała Podlaska;Wójt Gminy Biała Podlaska;PANASIUK Wiesław Marian;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
120506;gm. Łużna;Wójt Gminy Łużna;KROK Kazimierz;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
281702;gm. Dźwierzuty;Wójt Gminy Dźwierzuty;SZYDLIK Marianna Bogusława;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ,,GMINA TO MY WSZYSCY
100302;gm. Łask;Burmistrz Łasku;ROSIAK Grzegorz;SLD;KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM
200208;gm. Poświętne;Wójt Gminy Poświętne;ŁAPIŃSKI Witold;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄDNOŚĆ
101703;gm. Konopnica;Wójt Gminy Konopnica;HERNAS Sylwester Zenon;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
181101;m. Mielec;Prezydent Miasta Mielca;KAPINOS Fryderyk Sylwester;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
080909;gm. Zabór;Wójt Gminy Zabór;SIDORUK Robert;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA RÓWNYCH SZANS
142402;gm. Obryte;Wójt Gminy Obryte;MROCZKOWSKI Jan;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
301204;gm. Krotoszyn;Burmistrz Krotoszyna;KALAK Sławomira Maria;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
281803;gm. Gołdap;Burmistrz Gołdapi;JUCHNIEWICZ Andrzej;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
142613;gm. Zbuczyn;Wójt Gminy Zbuczyn;BIARDZKI Stanisław;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
040104;gm. Aleksandrów Kujawski;Wójt Gminy Aleksandrów Kujawski;ANKIERSZTAJN Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW UCZCIWA GMINA
120616;gm. Zabierzów;Wójt Gminy Zabierzów;CYWICKI Jerzy;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JERZYCYWICKI.PL
121110;gm. Ochotnica Dolna;Wójt Gminy Ochotnica Dolna;ZIEMIANEK Franciszek;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „RODZINA - TRADYCJA - ROZWÓJ”
260205;gm. Oksa;Wójt Gminy Oksa;SOBOŃ Tadeusz Józef;PSL;KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE
260414;gm. Piekoszów;Wójt Gminy Piekoszów;JÓŹWIK Wiesław Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW DOBRA ZMIANA DLA GMINY PIEKOSZÓW
241601;m. Poręba;Burmistrz Miasta Poręba;KWAPISZ-PAŃCZYK Anna Elżbieta;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW ANNY KWAPISZ - PAŃCZYK „PORĘBA DLA PORĘBY”
181601;m. Dynów;Burmistrz Miasta Dynów;KĘDZIERSKI Krzysztof Józef;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW „Z MIESZKAŃCAMI DLA MIESZKAŃCÓW”
181004;gm. Łańcut;Wójt Gminy Łańcut;ŁOZA Zbigniew;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW SAMORZĄD GMINY ŁAŃCUT
021907;gm. Świdnica;Wójt Gminy Świdnica;SALIŃSKA Magdalena;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
021908;gm. Żarów;Burmistrz Miasta Żarów;MICHALAK Leszek Kazimierz;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW LESZKA MICHALAKA-WSPÓLNOTA
062001;gm. Adamów;Wójt Gminy Adamów;TETERYCZ Jan Krzysztof;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW JANA TETERYCZA
081103;gm. Brody;Wójt Gminy Brody;KOWALCZUK Ryszard Stanisław;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW GMINA BRODY-WSPÓLNA SPRAWA
241608;gm. Szczekociny;Burmistrz Miasta i Gminy Szczekociny;LIPA Jacek Tadeusz;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
146401;m. Siedlce;Prezydent Miasta Siedlce;TCHÓRZEWSKI Karol;PiS;KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ
320702;gm. Golczewo;Burmistrz Gminy Golczewo;ZIELIŃSKI Maciej;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW MACIEJA ZIELIŃSKIEGO
260412;gm. Morawica;Burmistrz Miasta i Gminy Morawica;BURAS Marian Adam;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW NASZA GMINA MORAWICA
301904;gm. Łobżenica;Burmistrz Łobżenicy;MAZUREK Bronisława Cecylia;Komitet wyborczy wyborców;KOMITET WYBORCZY WYBORCÓW BRONISŁAWY MAZUREK
