razem;teryt;rok
2;300708;2018
2;143705;2018
1;201201;2018
2;141610;2018
3;120505;2018
3;080105;2018
4;061501;2018
3;302406;2018
3;200604;2018
3;061901;2018
1;100205;2018
3;101609;2018
4;060604;2018
2;101214;2018
2;041901;2018
2;062007;2018
4;081009;2018
2;061802;2018
3;281004;2018
2;261002;2018
4;121103;2018
1;302108;2018
2;220605;2018
3;101105;2018
3;161106;2018
3;021402;2018
5;241302;2018
2;160905;2018
2;221405;2018
2;302708;2018
2;247701;2018
2;142605;2018
1;061105;2018
1;121504;2018
1;300701;2018
2;060910;2018
4;160907;2018
2;060117;2018
3;040202;2018
3;140105;2018
7;101901;2018
4;141606;2018
4;143605;2018
3;140804;2018
2;281405;2018
2;280305;2018
4;020813;2018
3;280104;2018
3;181103;2018
1;241006;2018
3;220706;2018
1;020105;2018
2;301206;2018
4;302111;2018
2;080803;2018
1;142303;2018
1;300402;2018
3;320608;2018
2;062003;2018
1;041201;2018
2;080907;2018
2;061207;2018
2;060107;2018
3;240905;2018
4;281203;2018
4;020607;2018
3;101606;2018
2;120406;2018
2;141806;2018
3;140505;2018
2;281005;2018
4;061201;2018
4;320702;2018
6;041403;2018
3;281104;2018
1;300306;2018
2;100607;2018
3;240310;2018
2;260304;2018
2;321002;2018
4;220704;2018
3;280407;2018
3;121110;2018
2;240106;2018
2;060610;2018
2;220203;2018
2;041401;2018
4;142204;2018
3;302201;2018
1;220402;2018
3;121802;2018
2;100906;2018
6;326101;2018
2;022505;2018
4;041107;2018
2;041812;2018
1;241203;2018
2;101403;2018
4;121002;2018
3;061502;2018
3;240312;2018
2;101608;2018
3;142604;2018
1;060314;2018
6;080906;2018
1;160106;2018
4;041303;2018
2;280204;2018
1;182004;2018
1;320805;2018
2;121806;2018
4;020502;2018
3;303101;2018
1;321605;2018
4;247601;2018
4;020904;2018
2;080801;2018
2;140403;2018
2;142906;2018
4;280101;2018
3;260101;2018
2;061507;2018
1;100611;2018
4;180606;2018
2;281003;2018
1;060213;2018
3;321405;2018
2;241105;2018
4;201102;2018
2;142702;2018
1;220506;2018
2;260417;2018
3;241204;2018
2;140205;2018
3;303002;2018
6;022503;2018
2;100707;2018
3;101502;2018
2;240201;2018
2;100806;2018
3;281509;2018
4;220804;2018
6;321003;2018
2;121607;2018
2;220908;2018
2;020102;2018
2;020104;2018
3;142909;2018
2;022601;2018
2;301201;2018
2;142609;2018
2;201101;2018
2;300101;2018
3;080503;2018
4;301307;2018
1;061410;2018
3;160903;2018
3;061305;2018
1;160803;2018
2;261306;2018
4;142011;2018
2;302102;2018
3;020403;2018
3;020703;2018
3;140607;2018
4;142509;2018
3;221309;2018
2;302803;2018
2;140701;2018
2;260108;2018
3;142805;2018
3;101203;2018
5;320801;2018
3;281201;2018
2;301203;2018
2;260413;2018
3;201207;2018
2;121014;2018
4;061601;2018
2;220608;2018
2;301503;2018
4;260303;2018
2;021702;2018
4;302701;2018
2;101204;2018
1;300305;2018
4;260909;2018
2;280106;2018
5;320303;2018
3;280503;2018
5;040501;2018
3;301708;2018
1;180603;2018
2;181603;2018
6;247301;2018
2;240604;2018
2;181106;2018
2;061005;2018
2;302106;2018
1;101104;2018
2;040606;2018
3;241309;2018
2;100406;2018
5;321501;2018
2;060602;2018
1;300911;2018
5;026201;2018
4;143005;2018
5;100104;2018
2;240507;2018
2;301403;2018
2;141902;2018
2;201404;2018
3;241306;2018
2;041202;2018
3;121704;2018
2;142304;2018
3;241702;2018
2;240208;2018
3;143701;2018
4;221207;2018
2;300102;2018
2;281002;2018
3;142601;2018
2;141107;2018
3;020601;2018
2;302302;2018
2;081107;2018
4;061812;2018
