pbw_10104_wbp1_1;126101;275;Zespół Szkół Ogólnokształcących Nr 12, Kraków ul. Telimeny 9, 30-838;1427;1367;818;549;0;0;549;0;0;549;538;11
pbw_10105_wbp1_1;126101;276;Zespół Szkół Ogólnokształcących Nr 12, Kraków ul. Telimeny 9, 30-838;1465;1391;757;634;1;0;632;0;0;632;626;6
pbw_10106_wbp1_1;126101;277;Zespół Szkół Ogólnokształcących Nr 12, Kraków ul. Telimeny 9, 30-838;1115;1057;616;441;0;0;441;0;0;441;440;1
pbw_10107_wbp1_1;126101;278;Gimnazjum Nr 29, Kraków ul. Aleksandry 17, 30-837;2063;1957;1137;820;0;0;820;0;0;820;807;13
pbw_10108_wbp1_1;126101;279;Gimnazjum Nr 29, Kraków ul. Aleksandry 17, 30-837;1082;1035;566;469;0;0;469;0;0;469;461;8
pbw_10109_wbp1_1;126101;28;Przedszkole Samorządowe Nr 44, Kraków-Śródmieście, Stare Miasto ul. Żuławskiego 9, 31-145;797;751;387;364;1;0;364;0;0;364;358;6
pbw_1010_wbp1_1;021905;2;Świetlica wiejska, Mysłaków 22, 58-124 Marcinowice;1040;1037;445;592;2;0;591;0;0;591;580;11
pbw_10110_wbp1_1;126101;280;Szkoła Podstawowa nr 24, Kraków ul. Aleksandry 17, 30-837;1012;959;517;442;0;0;444;0;0;444;443;1
pbw_10111_wbp1_1;126101;281;Szkoła Podstawowa Nr 24, Kraków ul. Aleksandry 17, 30-837;922;879;492;387;0;0;387;0;0;387;386;1
pbw_10112_wbp1_1;126101;282;Szkoła Podstawowa Nr 24, Kraków ul. Aleksandry 17, 30-837;1916;1832;1055;777;0;0;777;0;0;777;768;9
pbw_10113_wbp1_1;126101;283;Szkoła Podstawowa Nr 41, Kraków ul. Jerzmanowskiego 6, 30-836;966;919;500;419;0;0;417;0;0;417;411;6
pbw_10114_wbp1_1;126101;284;Szkoła Podstawowa Nr 41, Kraków ul. Jerzmanowskiego 6, 30-836;1151;1096;601;495;0;0;495;0;1;494;482;12
pbw_10115_wbp1_1;126101;285;Szkoła Podstawowa Nr 41, Kraków ul. Jerzmanowskiego 6, 30-836;969;926;559;367;0;0;367;0;0;367;362;5
pbw_10116_wbp1_1;126101;286;Szkoła Podstawowa Nr 41, Kraków ul. Jerzmanowskiego 6, 30-836;2052;1952;1120;832;0;0;832;0;0;832;824;8
