teryt;exteryt;bb;center;===;tura;teryt;nrk;kto;wiek;miasto;glosy;glosyp;glosyn;wynik
020702;2;50.669526,15.859248 50.838961,16.179514;50.7542435,16.019381;===;R1;020702;1;STRAUS Patryk Piotr;38;wyższe;Pisarzowice,;2916;83.39%;581;Tak
020703;3;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753;===;R1;020703;1;KOCEMBA Ewa Aleksandra;58;wyższe;Lubawka,;2380;47.69;-1;Druga tura
020703;3;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753;===;R1;020703;2;KULON Tomasz Marian;62;wyższe;Bukówka,;1500;30.05;-1;Druga tura
020703;3;50.598623,15.829938 50.761097,16.109568;50.67986,15.969753;===;R1;020703;3;ORZECHOWSKI Jan Józef;58;zasadnicze zawodowe;Błażkowa, Prawo i Sprawiedliwość;1111;22.26;-1;Nie
020704;2;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973;===;R1;020704;1;CEPIELIK Wiesław Waldemar;44;wyższe;Marciszów,;1243;57.89;-1;Tak
020704;2;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973;===;R1;020704;2;CIUBA Artur;54;średnie;Ciechanowice,;230;10.71;-1;Nie
020704;2;50.802023,15.941398 50.913460,16.122548;50.8577415,16.031973;===;R1;020704;3;ZAWIERUCHA Stefan Adam;65;wyższe;Marciszów,;674;31.39;-1;Nie
020801;1;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;===;R1;020801;1;LEWANDOWSKI Piotr Andrzej;34;średnie;Duszniki-Zdrój,;1055;52.23;-1;Tak
020801;1;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;===;R1;020801;2;MATUSZEWSKI Wojciech;38;wyższe;Duszniki-Zdrój,;127;6.29;-1;Nie
020801;1;50.319189,16.351068 50.421533,16.412628;50.370361,16.381848;===;R1;020801;3;ZILBERT Piotr;48;wyższe;Duszniki-Zdrój,;838;41.49;-1;Nie
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;1;KAROLCZAK Tomasz Karol;49;średnie;Kłodzko,;702;6.26;-1;Nie
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;2;KOWALCZYK Jerzy;65;wyższe;Kłodzko,;230;2.05;-1;Nie
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;3;MIKOSA Dariusz Stanisław;53;wyższe;Kłodzko,;683;6.09;-1;Nie
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;4;PISZKO Michał Jan;37;wyższe;Kłodzko,;7577;67.56;-1;Tak
020802;1;50.400977,16.603974 50.466425,16.694095;50.433701,16.6490345;===;R1;020802;5;SZPYTMA Bogusław Krzysztof;55;wyższe;Kłodzko,;1671;14.90;-1;Nie
