okreg;nrlisty;numer;komitet;kto;glosy;procent
31;7;1;KUKIZ;Grzegorz DŁUGI;13531;3.29
31;8;1;PETRU;Monika ROSA;20126;4.89
31;2;1;PO;Marian ZEMBALA;53610;13.04
31;2;2;PO;Tomasz TOMCZYKIEWICZ;10814;2.63
31;2;3;PO;Danuta PIETRASZEWSKA;11222;2.73
31;2;5;PO;Marek WÓJCIK;8028;1.95
31;2;6;PO;Wojciech KRÓL;7465;1.82
32;2;1;PO;Beata MAŁECKA-LIBERA;23429;8.23
32;2;2;PO;Anna NEMŚ;15875;5.58
32;2;4;PO;Paweł BAŃKOWSKI;6707;2.36
32;8;1;PETRU;Barbara DOLNIAK;15752;5.53
32;1;1;PiS;Ewa MALIK;28909;10.16
32;1;2;PiS;Waldemar ANDZEL;12021;4.22
32;1;3;PiS;Dariusz STARZYCKI;9039;3.18
32;1;4;PiS;Robert WARWAS;11998;4.22
32;7;1;KUKIZ;Barbara CHROBAK;8550;3
33;5;1;PSL;Kazimierz KOTOWSKI;6851;1.46
33;5;32;PSL;Krystian JARUBAS;4379;0.93
33;1;1;PiS;Anna KRUPKA;27568;5.88
33;1;2;PiS;Krzysztof LIPIEC;16450;3.51
33;1;3;PiS;Maria ZUBA;6940;1.48
33;1;4;PiS;Michał CIEŚLAK;6331;1.35
33;1;5;PiS;Marek KWITEK;5636;1.2
33;1;11;PiS;Dominik TARCZYŃSKI;7475;1.59
33;1;12;PiS;Andrzej KRYJ;4779;1.02
33;1;13;PiS;Bogdan LATOSIŃSKI;5369;1.15
33;1;32;PiS;Zbigniew ZIOBRO;67238;14.35
33;7;1;KUKIZ;Piotr LIROY-MARZEC;22614;4.82
33;2;1;PO;Grzegorz SCHETYNA;42376;9.04
33;2;2;PO;Marzena OKŁA-DREWNOWICZ;13019;2.78
33;2;3;PO;Artur GIERADA;5087;1.09
33;8;1;PETRU;Adam CYRAŃSKI;12120;2.59
34;2;1;PO;Jacek PROTAS;18099;9.03
34;2;2;PO;Elżbieta GELERT;13540;6.76
34;2;3;PO;Piotr CIEŚLIŃSKI;7774;3.88
34;7;1;KUKIZ;Andrzej KOBYLARZ;5168;2.58
34;1;1;PiS;Leonard KRASULSKI;10194;5.09
34;1;2;PiS;Zbigniew BABALSKI;11695;5.84
34;1;3;PiS;Jerzy WILK;14904;7.44
34;1;8;PiS;Adam OŁDAKOWSKI;4983;2.49
35;7;1;KUKIZ;Andrzej MACIEJEWSKI;7899;2.97
35;2;1;PO;Janusz CICHOŃ;17864;6.71
35;2;2;PO;Anna WASILEWSKA;7660;2.88
35;2;3;PO;Paweł PAPKE;17376;6.53
35;5;1;PSL;Urszula PASŁAWSKA;6354;2.39
35;8;1;PETRU;Mirosław PAMPUCH;7787;2.93
35;1;1;PiS;Iwona ARENT;26377;9.91
35;1;3;PiS;Wojciech KOSSAKOWSKI;8183;3.07
35;1;4;PiS;Jerzy MAŁECKI;5513;2.07
35;1;10;PiS;Jerzy GOSIEWSKI;5092;1.91
36;1;1;PiS;Joanna LICHOCKA;24122;6.64
36;1;2;PiS;Jan DZIEDZICZAK;26665;7.34
36;1;3;PiS;Jan MOSIŃSKI;7247;2
36;1;4;PiS;Tomasz ŁAWNICZAK;8669;2.39
36;1;6;PiS;Piotr KALETA;6848;1.89
36;5;1;PSL;Andżelika MOŻDŻANOWSKA;18776;5.17
36;7;1;KUKIZ;Jerzy KOZŁOWSKI;10587;2.92
36;2;1;PO;Mariusz WITCZAK;25525;7.03
36;2;2;PO;Bożena HENCZYCA;8599;2.37
36;2;3;PO;Jarosław URBANIAK;14218;3.91
36;2;5;PO;Wojciech ZIEMNIAK;12043;3.32
36;8;1;PETRU;Adam SZŁAPKA;12539;3.45
37;2;1;PO;Paweł ARNDT;17925;6.46
37;2;2;PO;Tomasz NOWAK;11820;4.26
37;7;1;KUKIZ;Bartosz JÓZWIAK;8747;3.15
37;1;1;PiS;Witold CZARNECKI;26399;9.52
37;1;4;PiS;Zbigniew DOLATA;18060;6.51
37;1;5;PiS;Ryszard BARTOSIK;8163;2.94
37;1;7;PiS;Leszek GALEMBA;7708;2.78
37;1;10;PiS;Krzysztof OSTROWSKI;9443;3.4
37;8;1;PETRU;Paulina HENNIG-KLOSKA;7306;2.63
38;2;1;PO;Maria JANYSKA;21700;8.03
38;2;2;PO;Jakub RUTNICKI;27916;10.33
38;2;3;PO;Killion MUNYAMA;6259;2.32
38;2;6;PO;Zbigniew AJCHLER;7275;2.69
38;5;1;PSL;Krzysztof PASZYK;3345;1.24
38;7;1;KUKIZ;Błażej PARDA;10408;3.85
38;1;1;PiS;Maks KRACZKOWSKI;20503;7.59
38;1;2;PiS;Krzysztof ŁAPIŃSKI;8114;3
38;1;12;PiS;Marcin PORZUCEK;6690;2.48
39;1;1;PiS;Tadeusz DZIUBA;32910;8.03
39;1;5;PiS;Szymon SZYNKOWSKI_VEL_SĘK;8676;2.12
39;1;11;PiS;Bartłomiej WRÓBLEWSKI;14108;3.44
39;2;1;PO;Szymon ZIÓŁKOWSKI;29760;7.26
39;2;2;PO;Rafał GRUPIŃSKI;29122;7.1
39;2;3;PO;Bożena SZYDŁOWSKA;15596;3.8
39;2;4;PO;Waldy DZIKOWSKI;27991;6.83
39;2;12;PO;Jacek TOMCZAK;10687;2.61
39;8;1;PETRU;Joanna SCHMIDT;35202;8.59
39;8;2;PETRU;Marek RUCIŃSKI;9508;2.32
40;1;1;PiS;Czesław HOC;25072;11.55
40;1;2;PiS;Paweł SZEFERNAKER;6991;3.22
