nrk;teryt;adres;lwug;lkw;lkwzu;lgnw;lgw;freq;pgnw
100262;181702;Gminny Ośrodek Kultury|Besko|ul. Starowiejska 64 |38-524 Besko;1017;483;483;13;470;47.49;2.69
100263;181702;Szkoła Podstawowa w Besku Filia w Mymoniu|Mymoń|Szkolna 14 |38-524 Besko;300;81;81;6;75;27.00;7.41
100264;181703;Sala narad Urzędu Gminy Bukowsko|Bukowsko| 290 |38-505 Bukowsko;1965;848;848;27;821;43.16;3.18
100265;181703;Zespół Szkół Nowotaniec|Nowotaniec| 77 |38-505 Bukowsko;1310;626;626;20;606;47.79;3.19
100266;181703;Zespół Szkół Pobiedno|Pobiedno| 105 |38-505 Bukowsko;1018;471;471;9;462;46.27;1.91
100267;181704;Urząd Gminy|Komańcza| 166 |38-543 Komańcza;1008;336;336;7;329;33.33;2.08
100268;181704;Szkoła Podstawowa|Wisłok Wielki| 26A |38-543 Komańcza;585;138;139;7;131;23.59;5.07
100269;181704;Ośrodek Kultury|Szczawne| 32 |38-542 Rzepedź;595;146;146;8;138;24.54;5.48
100270;181704;Klub|Nowy Łupków| 46 |38-543 Komańcza;639;182;182;2;180;28.48;1.10
100271;181704;Rzepedzki Ośrodek Kultury|Rzepedź|Osiedle A 19A |38-542 Rzepedź;1303;442;442;14;428;33.92;3.17
100272;181704;Świetlica na terenie ZK|Nowy Łupków| 45 |38-543 Komańcza;154;64;64;12;52;41.56;18.75
100273;181704;Świetlica na terenie OZ Moszczaniec|Moszczaniec| 14 |38-543 Komańcza;252;86;86;6;80;34.13;6.98
100274;181705;Dom Ludowy|Płowce| 78 |38-500 Sanok;547;250;250;4;246;45.70;1.60
100275;181705;Szkoła Podstawowa|Niebieszczany| 492 |38-504 Niebieszczany;1749;857;857;22;835;49.00;2.57
100276;181705;Szkoła Podstawowa|Prusiek| 157 |38-504 Niebieszczany;636;304;304;13;291;47.80;4.28
100277;181705;Szkoła Podstawowa|Markowce| 55 |38-533 Nowosielce;286;125;125;6;119;43.71;4.80
100278;181705;Dom Ludowy|Sanoczek| 205 |38-500 Sanok;631;280;280;7;273;44.37;2.50
100279;181705;Dom Ludowy|Zabłotce| 100 |38-500 Sanok;370;184;184;11;173;49.73;5.98
100280;181705;Szkoła Podstawowa|Pisarowce| 92 |38-533 Nowosielce;866;378;378;9;369;43.65;2.38
100281;181705;Szkoła Podstawowa|Czerteż| 133 |38-500 Sanok;508;235;235;8;227;46.26;3.40
100282;181705;Dom Ludowy|Kostarowce| 224 |38-507 Jurowce;621;314;314;9;305;50.56;2.87
100283;181705;Dom Ludowy|Jurowce| 110 |38-507 Jurowce;1068;458;458;11;447;42.88;2.40
100284;181705;Dom Ludowy|Strachocina| 345A |38-507 Jurowce;906;544;544;23;521;60.04;4.23
100285;181705;Dom Ludowy|Pakoszówka| 224 |38-507 Jurowce;1002;467;467;21;446;46.61;4.50
100286;181705;Dom Ludowy|Falejówka| 174A |38-507 Jurowce;774;289;289;12;277;37.34;4.15
100287;181705;Dom Ludowy|Trepcza|Środkowa 25 |38-500 Sanok;964;408;408;10;398;42.32;2.45
100288;181705;Dom Ludowy|Dębna| 12 |38-503 Mrzygłód;202;97;97;2;95;48.02;2.06
100289;181705;Szkoła Podstawowa|Liszna| 77 |38-500 Sanok;283;110;110;4;106;38.87;3.64
100290;181705;Szkoła Podstawowa|Mrzygłód| 170 |38-503 Mrzygłód;644;265;265;3;262;41.15;1.13
100291;181705;Dom Ludowy|Dobra| 100 |38-503 Mrzygłód;715;260;260;11;249;36.36;4.23
100292;181705;Dom Ludowy|Bykowce|Przemyska 91 |38-500 Sanok;673;305;305;5;300;45.32;1.64
100293;181705;Szkoła Podstawowa|Wujskie| 1 |38-534 Załuż;567;260;260;14;246;45.86;5.38
100294;181706;Urząd Gminy|Tyrawa Wołoska| 175 |38-535 Tyrawa Wołoska;1579;615;615;38;577;38.95;6.18
100295;181707;Szkoła Podstawowa w Zagórzu|Zagórz|ul. Piłsudskiego 70 |38-540 Zagórz;1832;798;798;24;774;43.56;3.01
100296;181707;Szkoła Podstawowa w Zagórzu|Zagórz|ul. Wolności 10 |38-540 Zagórz;2302;1028;1028;29;999;44.66;2.82
100297;181707;Szkoła Podstawowa w Łukowem|Łukowe| 64 |38-516 Tarnawa Dolna;961;314;314;24;290;32.67;7.64
100298;181707;Gimnazjum w Tarnawie Dolnej|Tarnawa Dolna| 28 |38-516 Tarnawa Dolna;1681;742;742;13;729;44.14;1.75
100299;181707;Szkoła Podstawowa w Czaszynie|Czaszyn| 191 |38-516 Tarnawa Dolna;1140;553;553;19;534;48.51;3.44
100300;181707;Szkoła Podstawowa w Porażu|Poraż| 45 |38-540 Zagórz;1076;462;462;26;436;42.94;5.63
