komitet;okręg;numer;kandydat;glosy;proc.lista;proc.all;wynik
K1;15;4;BURZYŃSKA Maria Edyta;197;6.09;0.07;NX
K1;15;5;MACH Edward Józef;131;4.05;0.05;NX
K1;15;6;MASZOTA Stanisław;102;3.15;0.04;NX
K1;15;7;GAJOCH Tomasz Tadeusz;90;2.78;0.03;NX
K1;15;8;FELIKS Janusz Eugeniusz;53;1.63;0.02;NX
K1;15;9;JEZIORO Władysław;56;1.73;0.02;NX
K1;15;10;WĄTEK Justyna Elżbieta;85;2.62;0.03;NX
K1;15;11;ŚWIĄTEK Sylwester Wiesław;194;5.99;0.07;NX
K1;15;12;ADAMCZYK Maria Magdalena;282;8.71;0.10;NX
K1;16;1;SZYMAŃCZYK Lech;1665;28.05;0.54;NX
K1;16;2;OBRĘBSKA Aleksandra Helena;827;13.93;0.27;NX
K1;16;3;KUKIEŁKA Sylwia;288;4.85;0.09;NX
K1;16;4;WTULICH Karol;262;4.41;0.09;NX
K1;16;5;MADANY Zbigniew Feliks;170;2.86;0.06;NX
K1;16;6;STAWICKA Marianna;270;4.54;0.09;NX
K1;16;7;PIETRZAK Grażyna;259;4.36;0.08;NX
K1;16;8;OLEKSIAK Piotr;248;4.17;0.08;NX
K1;16;9;SZYMCZAK Anna;234;3.94;0.08;NX
K1;16;10;SIEDLECKA-ZIEJA Urszula Mariola;103;1.73;0.03;NX
K1;16;11;LASKOWSKI Mirosław;179;3.01;0.06;NX
K1;16;12;WIŚNIEWSKI Piotr;206;3.47;0.07;NX
K1;16;13;RUDOWSKA Agnieszka Barbara;102;1.71;0.03;NX
K1;16;14;KOWALSKI Krzysztof;183;3.08;0.06;NX
K1;16;15;FILIPEK Grzegorz;728;12.26;0.24;NX
K1;16;16;MICHALSKA Barbara Marzena;91;1.53;0.03;NX
K1;16;17;ŚWIĘCKI Tadeusz;120;2.02;0.04;NX
K1;17;1;ŁYŻWIŃSKA Wanda Elżbieta;1410;18.59;0.50;NX
K1;17;2;PADUCH Marzena Hanna;2946;38.84;1.03;NX
K1;17;3;KUMOREK Władysław Leszek;833;10.98;0.29;NX
K1;17;4;KĘPCZYK Sławomir Grzegorz;379;4.99;0.13;NX
K1;17;5;CZARNECKA Aldona Marzena;268;3.53;0.09;NX
K1;17;6;PAJEK Waldemar;274;3.61;0.10;NX
K1;17;7;FERUŚ Marcin Paweł;174;2.29;0.06;NX
K1;17;8;MOSTEK Janusz Leszek;113;1.48;0.04;NX
K1;17;9;ORZECHOWSKI Marian;184;2.42;0.06;NX
K1;17;10;ŁACHWA Włodzimierz Waldemar;94;1.23;0.03;NX
K1;17;11;RZEPKA Mariusz;124;1.63;0.04;NX
K1;17;12;SITAREK Henryk;97;1.27;0.03;NX
K1;17;13;GRZECH Krystyna;100;1.31;0.04;NX
K1;17;14;MAJEWSKI Mieczysław Jan;189;2.49;0.07;NX
K1;17;15;ROKICKA Mirosława;129;1.70;0.05;NX
K1;17;16;JĘDRZEJCZAK Magdalena Aniela;96;1.26;0.03;NX
K1;17;17;GOŁĘBIOWSKI Dariusz Tomasz;174;2.29;0.06;NX
K1;18;1;FILIPEK Krzysztof;3847;44.28;1.04;NX
K1;18;2;SKWIERCZYŃSKI Grzegorz Krzysztof;1210;13.93;0.33;NX
K1;18;3;TALKOWSKI Władysław;441;5.07;0.12;NX
K1;18;4;CHMIELAK Waldemar Stanisław;730;8.40;0.20;NX
K1;18;5;KURPIEWSKI Stanisław Tadeusz;462;5.31;0.13;NX
K1;18;6;ŁUKASZUK Wojciech;211;2.42;0.06;NX
K1;18;7;TOŁŁOCZKO Zbigniew Józef;130;1.49;0.04;NX
K1;18;8;KOWALCZYK Paweł;346;3.98;0.09;NX
K1;18;9;TYSZKIEWICZ Zbigniew;168;1.93;0.05;NX
K1;18;10;JĘDRYCH Wiesława Elżbieta;202;2.32;0.05;NX
K1;18;11;JEZIERSKI Krzysztof;115;1.32;0.03;NX
K1;18;12;KOWALSKA Bożenna Zofia;190;2.18;0.05;NX
K1;18;13;JANCZEWSKI Włodzimierz Walenty;143;1.64;0.04;NX
K1;18;14;MICHALSKI Artur Antoni;63;0.72;0.02;NX
K1;18;15;PLUTA Bogdan;121;1.39;0.03;NX
K1;18;16;ZDRZALIK Włodzimierz Zbigniew;26;0.29;0.01;NX
K1;18;17;JAMBOR Iwona;50;0.57;0.01;NX
K1;18;18;PAŁACIN Beata;49;0.56;0.01;NX
K1;18;19;KALICH Izabela;55;0.63;0.01;NX
K1;18;20;PIELOCH Aneta;127;1.46;0.03;NX
K1;19;1;IKONOWICZ Piotr Igor;2635;58.03;0.23;NX
K1;19;2;ZARZYCKA Maria Anna;246;5.41;0.02;NX
K1;19;3;SZYSZKO Ignacy;167;3.67;0.01;NX
